Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Slope [N/m]	Interpolated Height [m]	Ref. Value For Feedback Chan. [N]	Young's Modulus [Pa]	Contact Point [m]	Baseline [N]	ResidualRMS [N]
qi-data-2024.10.02-12.34.24.687-cropped_05.jpk-qi-series	10190	-0.00173049	-0.00209963	9.05424e-12	3.10953e-05	8.39254e-06	0.0108312	-8.12063e-09	0.00000	863156	1.59153e-09	1.49166e-11	2.82973e-11
qi-data-2024.10.02-12.34.24.687-cropped_06.jpk-qi-series	10191	-0.00173043	-0.00209963	9.27266e-10	-7.61417e-05	8.40965e-06	0.0136570	2.34174e-09	0.00000	904266	1.01068e-08	-1.52082e-12	1.74223e-11
qi-data-2024.10.02-12.34.24.687-cropped_10.jpk-qi-series	10315	-0.00173069	-0.00209956	2.10538e-09	-0.000216568	8.33800e-06	0.0147354	5.83961e-09	0.00000	907379	1.19686e-08	-9.33354e-12	2.15156e-11
qi-data-2024.10.02-12.34.24.687-cropped_14.jpk-qi-series	10319	-0.00173043	-0.00209956	5.31463e-11	2.29543e-05	8.45912e-06	0.0141845	8.27439e-10	0.00000	980625	9.82645e-09	5.91684e-12	1.80770e-11
qi-data-2024.10.02-12.34.24.687-cropped_15.jpk-qi-series	10320	-0.00173036	-0.00209956	2.64213e-10	-1.89608e-06	8.46087e-06	0.0153694	-1.50490e-09	0.00000	876000	9.84799e-09	5.00758e-12	1.67297e-11
qi-data-2024.10.02-12.34.24.687-cropped_17.jpk-qi-series	10442	-0.00173076	-0.00209950	2.96272e-09	-0.000316820	8.38626e-06	0.0165709	-4.50410e-09	0.00000	918143	9.42166e-09	-1.26153e-11	2.44537e-11
qi-data-2024.10.02-12.34.24.687-cropped_18.jpk-qi-series	10443	-0.00173069	-0.00209950	1.57510e-09	-0.000157330	8.38852e-06	0.0171515	-2.66211e-09	0.00000	1.03823e+06	8.54094e-09	-3.82834e-12	1.62509e-11
qi-data-2024.10.02-12.34.24.687-cropped_20.jpk-qi-series	10445	-0.00173056	-0.00209950	2.01116e-09	-0.000207935	8.46459e-06	0.0144855	-2.24338e-08	0.00000	338424	1.75989e-08	2.73740e-13	1.73907e-11
qi-data-2024.10.02-12.34.24.687-cropped_21.jpk-qi-series	10446	-0.00173049	-0.00209950	1.57892e-09	-0.000157223	8.44192e-06	0.0199287	-5.42282e-09	0.00000	999103	1.03735e-08	4.40321e-12	2.55870e-11
qi-data-2024.10.02-12.34.24.687-cropped_22.jpk-qi-series	10447	-0.00173043	-0.00209950	1.12028e-09	-0.000102850	8.48387e-06	0.0130412	-6.28624e-09	0.00000	618025	1.33710e-08	3.85776e-12	1.82630e-11
qi-data-2024.10.02-12.34.24.687-cropped_23.jpk-qi-series	10448	-0.00173036	-0.00209950	1.96414e-09	-0.000196200	8.47991e-06	0.0148202	-6.57259e-09	0.00000	1.06866e+06	2.72281e-09	2.80340e-12	1.83470e-11
qi-data-2024.10.02-12.34.24.687-cropped_24.jpk-qi-series	10569	-0.00173083	-0.00209943	1.29552e-09	-0.000116218	8.40970e-06	0.0148522	-1.62999e-08	0.00000	518536	9.19663e-09	-4.73879e-13	1.84575e-11
qi-data-2024.10.02-12.34.24.687-cropped_26.jpk-qi-series	10571	-0.00173069	-0.00209943	1.63100e-09	-0.000155011	8.46279e-06	0.0139222	-5.38448e-09	0.00000	573274	1.12017e-08	-4.08371e-12	1.79358e-11
qi-data-2024.10.02-12.34.24.687-cropped_30.jpk-qi-series	10575	-0.00173043	-0.00209943	6.55224e-10	-4.22051e-05	8.50028e-06	0.0127911	-8.70816e-09	0.00000	631963	1.18082e-08	1.93237e-12	1.69526e-11
