Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Slope [N/m]	Interpolated Height [m]	Ref. Value For Feedback Chan. [N]	Young's Modulus [Pa]	Contact Point [m]	Baseline [N]	ResidualRMS [N]
qi-data-2024.10.02-16.49.20.279-cropped_03.jpk-qi-series	1926	-0.00176992	-0.00206126	-2.18126e-09	-3.66440e-05	9.45455e-06	0.0281099	-1.48476e-08	0.00000	954904	4.47725e-09	4.23732e-12	2.20656e-11
qi-data-2024.10.02-16.49.20.279-cropped_04.jpk-qi-series	1927	-0.00176988	-0.00206126	-2.36504e-09	-1.75294e-05	9.44639e-06	0.0259732	2.48489e-09	0.00000	1.77336e+06	1.07630e-08	3.05223e-12	2.63976e-11
qi-data-2024.10.02-16.49.20.279-cropped_05.jpk-qi-series	1928	-0.00176983	-0.00206126	-1.71363e-09	-8.44532e-05	9.44840e-06	0.0703613	-5.39530e-10	0.00000	7.58621e+06	4.92318e-09	-3.44307e-12	2.44857e-11
qi-data-2024.10.02-16.49.20.279-cropped_06.jpk-qi-series	1929	-0.00176978	-0.00206126	-2.28065e-09	-2.59776e-05	9.48027e-06	0.0385961	-5.65650e-09	0.00000	2.13335e+06	8.97211e-09	1.59175e-12	2.24967e-11
qi-data-2024.10.02-16.49.20.279-cropped_07.jpk-qi-series	1930	-0.00176973	-0.00206126	-2.35174e-09	-1.90338e-05	9.46748e-06	0.0409281	-3.55796e-09	0.00000	2.32183e+06	9.29611e-09	6.34633e-12	2.18491e-11
qi-data-2024.10.02-16.49.20.279-cropped_08.jpk-qi-series	1931	-0.00176969	-0.00206126	-2.02118e-09	-5.26242e-05	9.45405e-06	0.0812479	1.25622e-09	0.00000	1.03176e+07	5.94530e-09	8.71541e-13	2.53101e-11
qi-data-2024.10.02-16.49.20.279-cropped_09.jpk-qi-series	1932	-0.00176964	-0.00206126	-2.37599e-09	-1.62182e-05	9.46197e-06	0.0620363	-3.23322e-09	0.00000	4.91155e+06	4.78330e-09	4.56648e-12	2.69672e-11
qi-data-2024.10.02-16.49.20.279-cropped_10.jpk-qi-series	1933	-0.00176959	-0.00206126	-1.97811e-09	-5.72050e-05	9.46103e-06	0.0866897	-1.31659e-09	0.00000	9.98308e+06	4.21337e-09	3.12140e-13	2.16147e-11
qi-data-2024.10.02-16.49.20.279-cropped_11.jpk-qi-series	1934	-0.00176955	-0.00206126	-1.63344e-09	-9.23150e-05	9.48105e-06	0.0358997	-6.60545e-10	0.00000	3.91104e+06	4.99940e-09	-4.33174e-12	1.95863e-11
qi-data-2024.10.02-16.49.20.279-cropped_15.jpk-qi-series	1938	-0.00176936	-0.00206126	-1.78507e-09	-7.72097e-05	9.41365e-06	0.0275476	2.07564e-09	0.00000	3.01266e+06	8.52033e-09	-3.16733e-13	2.18565e-11
qi-data-2024.10.02-16.49.20.279-cropped_16.jpk-qi-series	1939	-0.00176931	-0.00206126	-2.19500e-09	-3.44994e-05	9.37845e-06	0.0408747	-7.60071e-09	0.00000	6.12708e+06	3.12782e-09	5.62395e-13	2.01847e-11
qi-data-2024.10.02-16.49.20.279-cropped_20.jpk-qi-series	1987	-0.00177006	-0.00206121	4.41826e-10	-0.000311515	9.33571e-06	0.0323843	2.80927e-09	0.00000	4.19992e+06	7.49047e-09	-1.73499e-11	3.06983e-11
qi-data-2024.10.02-16.49.20.279-cropped_22.jpk-qi-series	1989	-0.00176997	-0.00206121	-1.86195e-09	-6.92876e-05	9.41917e-06	0.0208518	4.28960e-09	0.00000	1.66484e+06	1.11166e-08	-1.10387e-12	2.16860e-11
qi-data-2024.10.02-16.49.20.279-cropped_23.jpk-qi-series	1990	-0.00176992	-0.00206121	-1.64688e-09	-9.17148e-05	9.42585e-06	0.0357035	9.40383e-10	0.00000	3.81106e+06	6.33383e-09	-1.58201e-12	2.31205e-11
qi-data-2024.10.02-16.49.20.279-cropped_24.jpk-qi-series	1991	-0.00176988	-0.00206121	-1.55977e-09	-0.000100637	9.42189e-06	0.0580190	-4.55957e-09	0.00000	6.21817e+06	1.40650e-09	-6.56218e-13	1.96689e-11
qi-data-2024.10.02-16.49.20.279-cropped_25.jpk-qi-series	1992	-0.00176983	-0.00206121	-6.90623e-10	-0.000190175	9.42135e-06	0.0689937	-9.84801e-10	0.00000	6.97909e+06	5.24450e-09	-1.28469e-11	3.01282e-11
qi-data-2024.10.02-16.49.20.279-cropped_26.jpk-qi-series	1993	-0.00176978	-0.00206121	-1.71975e-09	-8.38275e-05	9.45532e-06	0.0415059	-2.02112e-08	0.00000	1.22053e+06	2.27296e-09	-1.19598e-12	3.13413e-11
qi-data-2024.10.02-16.49.20.279-cropped_27.jpk-qi-series	1994	-0.00176973	-0.00206121	-2.88427e-09	3.59842e-05	9.43107e-06	0.0758025	-1.94489e-09	0.00000	6.97859e+06	5.09668e-09	8.71325e-12	2.37630e-11
qi-data-2024.10.02-16.49.20.279-cropped_28.jpk-qi-series	1995	-0.00176969	-0.00206121	-2.07603e-09	-4.76216e-05	9.44372e-06	0.0397767	2.34337e-09	0.00000	5.47326e+06	6.24056e-09	3.19310e-12	2.04797e-11
qi-data-2024.10.02-16.49.20.279-cropped_29.jpk-qi-series	1996	-0.00176964	-0.00206121	-2.24578e-09	-2.99699e-05	9.44167e-06	0.0775534	3.35013e-10	0.00000	8.38039e+06	6.12408e-09	1.69503e-12	2.54118e-11
qi-data-2024.10.02-16.49.20.279-cropped_30.jpk-qi-series	1997	-0.00176959	-0.00206121	-1.71923e-09	-8.40936e-05	9.46494e-06	0.0342990	3.53512e-09	0.00000	4.00756e+06	7.68121e-09	-1.93685e-12	2.21199e-11
