Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Slope [N/m]	Interpolated Height [m]	Ref. Value For Feedback Chan. [N]	Young's Modulus [Pa]	Contact Point [m]	Baseline [N]	ResidualRMS [N]
qi-data-2024.10.02-13.47.57.290-cropped_010.jpk-qi-series	10403	-0.00173001	-0.00206824	-3.28207e-09	-5.64093e-05	8.65788e-06	0.0156759	-2.62161e-09	0.00000	813756	8.52941e-09	-4.08766e-14	1.70430e-11
qi-data-2024.10.02-13.47.57.290-cropped_011.jpk-qi-series	10404	-0.00172996	-0.00206824	-2.84993e-09	-0.000104177	8.65137e-06	0.0142644	8.30675e-09	0.00000	1.19462e+06	7.03808e-09	-7.24694e-12	1.90445e-11
qi-data-2024.10.02-13.47.57.290-cropped_012.jpk-qi-series	10405	-0.00172990	-0.00206824	-3.40195e-09	-4.25013e-05	8.66379e-06	0.0148506	-3.76691e-09	0.00000	675758	6.46216e-09	2.03778e-12	1.92307e-11
qi-data-2024.10.02-13.47.57.290-cropped_013.jpk-qi-series	10406	-0.00172985	-0.00206824	-3.20914e-09	-6.37558e-05	8.65378e-06	0.0213529	-7.47561e-09	0.00000	847552	1.00259e-08	-2.40285e-12	1.98877e-11
qi-data-2024.10.02-13.47.57.290-cropped_014.jpk-qi-series	10407	-0.00172979	-0.00206824	-2.78957e-09	-0.000110784	8.62689e-06	0.0247724	2.95934e-09	0.00000	1.19445e+06	1.35689e-08	-7.50026e-12	2.43311e-11
qi-data-2024.10.02-13.47.57.290-cropped_015.jpk-qi-series	10408	-0.00172974	-0.00206824	-3.24410e-09	-5.95526e-05	8.63009e-06	0.0250583	-1.35847e-08	0.00000	626596	1.20478e-08	-3.68021e-12	1.94722e-11
qi-data-2024.10.02-13.47.57.290-cropped_016.jpk-qi-series	10409	-0.00172968	-0.00206824	-2.92822e-09	-9.49073e-05	8.62532e-06	0.0150745	-7.39626e-09	0.00000	878759	1.00166e-08	-6.16413e-12	1.86031e-11
qi-data-2024.10.02-13.47.57.290-cropped_017.jpk-qi-series	10410	-0.00172963	-0.00206824	-3.03569e-09	-8.29107e-05	8.61783e-06	0.0152907	-4.66297e-10	0.00000	1.07625e+06	9.96409e-09	-5.34941e-12	1.97685e-11
qi-data-2024.10.02-13.47.57.290-cropped_022.jpk-qi-series	10415	-0.00172936	-0.00206824	-3.43742e-09	-3.76841e-05	8.50127e-06	0.0235698	-9.87477e-09	0.00000	960409	5.58486e-09	-2.03922e-12	1.77056e-11
qi-data-2024.10.02-13.47.57.290-cropped_025.jpk-qi-series	10418	-0.00172919	-0.00206824	-3.23825e-09	-6.12715e-05	8.36243e-06	0.0179752	-4.96105e-09	0.00000	1.17466e+06	3.88495e-09	1.74652e-12	2.10855e-11
qi-data-2024.10.02-13.47.57.290-cropped_036.jpk-qi-series	10530	-0.00173007	-0.00206818	-3.35333e-09	-4.02105e-05	8.69954e-06	0.0165312	2.08534e-09	0.00000	1.12334e+06	8.27706e-09	8.92207e-14	1.81997e-11
