group,cell,n_curves,max_indentation_nm,linear_boundary_depth_nm,linear_boundary_pct_max,linear_fit_span_pct,elasticity_xmin_depth_nm,elasticity_xmin_pct_max
20,cell1,170,60.55225061,25.1072070895,41.48756158655583,58.51243841344417,25.0110354435,41.28983987972725
20,cell2,143,59.352970799,25.131913393,42.71718466603723,57.28281533396276,25.085971991,43.74118134402937
20,cell3,101,64.553282728,25.13230557,38.2453951209446,61.7546048790554,25.207105312,42.00882379382236
320,cell1,110,43.6209056385,25.1066236275,55.96560470616181,44.03439529383819,25.1558125705,64.93496554973888
320,cell2,113,42.485459833,23.248100585,54.0968204264664,45.903179573533606,30.646020101,78.93486340734624
320,cell3,122,58.951964383500005,26.1198062235,43.340972144089015,56.65902785591099,21.360567700500006,37.28363648176024
dead,cell1,81,21.394237492,7.705391891,38.68189922657881,61.31810077342119,16.982910834000005,80.19317309346052
dead,cell2,100,31.403063578,8.201432652449999,35.73080181860225,64.26919818139774,18.269294449500002,66.17169271386402
dead,cell3,91,28.350013301,14.904983005999998,54.02815825898968,45.97184174101032,19.257891787,98.94525692422071
live,cell1,101,75.48328669899999,25.128748985,33.1957427169349,66.8042572830651,25.036208880000007,33.09777275415191
live,cell2,139,78.688792847,25.144480244,31.88196285418418,68.11803714581582,25.039647216999995,31.725447471874023
live,cell3,119,62.990398216,25.108959436,39.78719116780585,60.21280883219415,25.016829508000004,39.67334534115116
