group,cell,n_curves,linear_near_25_pct,elastic_near_25_pct,median_max_indent_nm,median_linear_boundary_nm,median_elasticity_xmin_nm
20,cell1,170,100.0,99.41176470588235,60.55225061,25.1072070895,25.0110354435
20,cell2,143,95.8041958041958,57.04225352112676,59.352970799,25.131913393,25.085971991
20,cell3,101,91.0891089108911,61.458333333333336,64.553282728,25.13230557,25.207105312
320,cell1,110,74.54545454545455,88.0,43.6209056385,25.1066236275,25.1558125705
320,cell2,113,23.008849557522122,9.523809523809524,42.485459833,23.248100585,30.646020101
320,cell3,122,10.655737704918032,30.57851239669421,58.951964383500005,26.1198062235,21.360567700500006
dead,cell1,81,6.172839506172839,6.8181818181818175,21.394237492,7.705391891,16.982910834000005
dead,cell2,100,8.0,10.256410256410255,31.403063578,8.201432652449999,18.269294449500002
dead,cell3,91,6.593406593406594,10.869565217391305,28.350013301,14.904983005999998,19.257891787
live,cell1,101,100.0,98.01980198019803,75.48328669899999,25.128748985,25.036208880000007
live,cell2,139,100.0,100.0,78.688792847,25.144480244,25.039647216999995
live,cell3,119,100.0,100.0,62.990398216,25.108959436,25.016829508000004
