dataset,curves,full,xmin_inf,finite_both,median_score,max_score,score_gt_0.01,score_gt_0.1
+ve_cell1part1,51,0,48,3,0.0001187037683472,15.404808047321527,4,4
+ve_cell1part2,40,0,40,0,0.0001111599841335,0.0001411338053742,0,0
+ve_cell1part3,14,0,14,0,0.00012129690520685,0.0003529613924788,0,0
+ve_cell2part1,28,0,28,0,0.00011185626984215,0.0002043058230033,0,0
+ve_cell2part2,42,0,42,0,0.0001214643911632,0.2330806798318492,1,1
+ve_cell2part3,31,0,31,0,0.0001321175700056,0.0002198088669346,0,0
+ve_cell2part4,40,0,40,0,0.00013372775577595,0.0946896857631125,1,0
+ve_cell3part1,121,0,121,0,6.979043401137253e-05,0.6733610783588018,2,1
-ve_cell1part1,18,8,10,0,0.0001556681401387,2.459210548284395,1,1
-ve_cell1part2,35,16,18,1,0.0001377239827907,5464.986472556627,2,1
-ve_cell1part3,22,11,11,0,0.0001495316345335,0.2987797115361684,1,1
-ve_cell1part4,10,2,7,1,0.00012025606430630001,0.0001968946431589,0,0
-ve_cell2part1,72,15,57,0,0.00015234399089735,1.45358675333952,1,1
-ve_cell2part2,33,7,21,5,0.0001454813508991,22.99860509784023,4,3
-ve_cell3part1,66,32,34,0,0.00012972809642089998,2522.963899773987,2,2
-ve_cell3part2,27,13,14,0,0.0001262540983724,0.0001865419878505,0,0
20_cell1part1,93,0,92,1,7.641066573394476e-05,14.886345180057326,2,2
20_cell1part2,83,0,82,1,7.627721906385037e-05,1.7153562967645657,4,4
20_cell2part1,61,0,61,0,8.123937644007124e-05,0.0001768684864351,0,0
20_cell2part2,83,1,82,0,8.164216056259984e-05,32.742060389517576,1,1
20_cell3part1,36,4,31,1,2.9830221647609538e-05,0.007239034581645,0,0
20_cell3part2,47,1,45,1,3.095812404661844e-05,4.760438538392863,6,5
20_cell3part3,25,0,25,0,3.343061191366872e-05,0.3220314972548185,1,1
320_cell1part1,67,26,41,0,0.0001168332769798,0.0888193593784764,2,0
320_cell1part2,47,9,38,0,0.0001179795984382,0.2952218142474788,2,2
320_cell2part1,58,47,11,0,0.000121355374013,0.0011915563789938,0,0
320_cell2part2,7,0,7,0,0.0006432481496821,0.0030545152921801,0,0
320_cell2part3,20,3,17,0,0.00095307926573195,65.47919671334917,2,1
320_cell2part4,30,0,29,1,0.00013067415155305,0.0001710733292575,0,0
320_cell3part1,65,1,64,0,0.000140254702882,0.6146130948682481,1,1
320_cell3part2,38,0,37,1,0.00013726845569895,2.386553883660309,1,1
320_cell3part3,21,0,20,1,0.0001316934942899,0.0012828777897204,0,0
