       dataset  curves  full  xmin_inf  finite_both  median_score   max_score  score_gt_0.01  score_gt_0.1
+ve_cell1part1      51     0        48            3      0.000119   15.404808              4             4
+ve_cell1part2      40     0        40            0      0.000111    0.000141              0             0
+ve_cell1part3      14     0        14            0      0.000121    0.000353              0             0
+ve_cell2part1      28     0        28            0      0.000112    0.000204              0             0
+ve_cell2part2      42     0        42            0      0.000121    0.233081              1             1
+ve_cell2part3      31     0        31            0      0.000132    0.000220              0             0
+ve_cell2part4      40     0        40            0      0.000134    0.094690              1             0
+ve_cell3part1     121     0       121            0      0.000070    0.673361              2             1
-ve_cell1part1      18     8        10            0      0.000156    2.459211              1             1
-ve_cell1part2      35    16        18            1      0.000138 5464.986473              2             1
-ve_cell1part3      22    11        11            0      0.000150    0.298780              1             1
-ve_cell1part4      10     2         7            1      0.000120    0.000197              0             0
-ve_cell2part1      72    15        57            0      0.000152    1.453587              1             1
-ve_cell2part2      33     7        21            5      0.000145   22.998605              4             3
-ve_cell3part1      66    32        34            0      0.000130 2522.963900              2             2
-ve_cell3part2      27    13        14            0      0.000126    0.000187              0             0
 20_cell1part1      93     0        92            1      0.000076   14.886345              2             2
 20_cell1part2      83     0        82            1      0.000076    1.715356              4             4
 20_cell2part1      61     0        61            0      0.000081    0.000177              0             0
 20_cell2part2      83     1        82            0      0.000082   32.742060              1             1
 20_cell3part1      36     4        31            1      0.000030    0.007239              0             0
 20_cell3part2      47     1        45            1      0.000031    4.760439              6             5
 20_cell3part3      25     0        25            0      0.000033    0.322031              1             1
320_cell1part1      67    26        41            0      0.000117    0.088819              2             0
320_cell1part2      47     9        38            0      0.000118    0.295222              2             2
320_cell2part1      58    47        11            0      0.000121    0.001192              0             0
320_cell2part2       7     0         7            0      0.000643    0.003055              0             0
320_cell2part3      20     3        17            0      0.000953   65.479197              2             1
320_cell2part4      30     0        29            1      0.000131    0.000171              0             0
320_cell3part1      65     1        64            0      0.000140    0.614613              1             1
320_cell3part2      38     0        37            1      0.000137    2.386554              1             1
320_cell3part3      21     0        20            1      0.000132    0.001283              0             0
